packet_count,byte_count,duration_s,packets_per_sec,bytes_per_sec,mean_inter_arrival,std_inter_arrival,syn_count,synack_count,rst_count,ssh_auth_attempts,protocol
1,156,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
1,122,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
1,134,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
12,3174,58.961127281188965,0.20352392420808574,53.832077953038684,5.360102480108088,16.922970565763645,1,0,0,0,6
11,5542,58.95370936393738,0.1865870717666634,94.00595924825896,5.895370936393737,17.659774656924508,1,1,0,0,6
1,86,0.0,0.0,0.0,0.0,0.0,0,0,0,0,58
1,107,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
1,107,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
1,107,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
1,188,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
1,263,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
1,188,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
13,2743,5.148108959197998,2.5251990785418834,532.8170055723374,0.4290090799331665,1.3728307748304704,1,0,3,0,6
9,2829,5.121609210968018,1.7572601948478106,552.3654545804951,0.6402011513710022,1.6658017256996767,1,1,0,0,6
1,99,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
1,99,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
1,99,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
1,167,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
1,115,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
1,155,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
14,3408,20.05756974220276,0.6979908423572803,169.91091362525793,1.542889980169443,5.330835767046232,1,0,0,0,6
17,5726,20.06295895576477,0.8473326410865891,285.40157075657703,1.2539349347352982,4.830477045599509,1,1,3,0,6
1,70,0.0,0.0,0.0,0.0,0.0,0,0,0,0,58
16,7690,44.6359965801239,0.35845508616076666,172.2824757860185,2.9757331053415936,6.667056102509895,0,0,0,0,17
16,8010,44.634554386138916,0.3584666682584544,179.45737579688873,2.9756369590759277,6.666692529865227,0,0,0,0,17
1,107,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
1,87,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
